Hyperparameters
Env: Hopper-v3
Seed: 12
Eval frequency: 5000.0
Number of initial exploration steps: 25000.0
Max env steps: 1000000.0
Batch size: 256
Discount factor: 0.99
Target network update rate: 0.005
Policy noise: 0.2
Noise clip: 0.5
Frequency of delayed policy updates: 2

avg_reward,time,env_steps,grad_steps,seed
265.8485114166764,0,0,0,12
265.8485114166764,1.0622320069996931,5000,0,12
265.8485114166764,2.135130973998457,10000,0,12
265.8485114166764,3.304752666997956,15000,0,12
265.8485114166764,4.40446664099909,20000,0,12
265.8485114166764,5.4671426309978415,25000,0,12
170.74346916501182,34.3392219089983,30000,5000,12
170.65414214705015,65.44568228299795,35000,10000,12
172.81564198276084,96.59910120699897,40000,15000,12
187.89492354309135,126.90830373799872,45000,20000,12
294.53276036643956,159.46165597599975,50000,25000,12
350.8271955057613,188.12923981599852,55000,30000,12
318.2695951153563,225.09734221799772,60000,35000,12
294.53545189401257,262.6392127049967,65000,40000,12
292.11742599794616,300.35071627299476,70000,45000,12
287.2384483982358,330.3292823449956,75000,50000,12
322.2101003046487,360.3254244329946,80000,55000,12
246.11413215130938,390.82859958499284,85000,60000,12
272.6195404087153,424.03669940299187,90000,65000,12
204.21735887562284,455.9020335329933,95000,70000,12
326.6181399857237,494.18574504999197,100000,75000,12
303.8346012126228,534.7309780009928,105000,80000,12
259.86974199003214,576.9831932529924,110000,85000,12
264.9755482928434,619.1503044799938,115000,90000,12
369.76037355851946,661.622813645994,120000,95000,12
304.57065039152394,702.9686324579925,125000,100000,12
437.485617046353,739.5715802599934,130000,105000,12
506.62240814284496,769.1079104029923,135000,110000,12
402.8498928130964,799.3857003749908,140000,115000,12
342.29106002587923,830.6844366879905,145000,120000,12
429.2920831845892,862.5177054149917,150000,125000,12
419.2978789379392,893.7296311539903,155000,130000,12
512.439649197766,921.9806288139916,160000,135000,12
681.7531493786046,951.9270204049899,165000,140000,12
688.0820541013259,981.5307442429894,170000,145000,12
523.1717210469639,1011.5469134059895,175000,150000,12
1396.4015977534239,1041.243859541988,180000,155000,12
578.5978959902269,1072.7411744379879,185000,160000,12
622.8093958969764,1102.923419235989,190000,165000,12
790.1271664087562,1133.5311566859891,195000,170000,12
698.7049909671932,1161.9755158999906,200000,175000,12
727.0442842981903,1190.9130407799912,205000,180000,12
1099.0055873547794,1221.0154350229914,210000,185000,12
1602.0988378228183,1251.4055199069899,215000,190000,12
1568.3124777690207,1286.6132921229892,220000,195000,12
1819.8768370554164,1317.5273835169883,225000,200000,12
1459.1122246492134,1350.7221216479884,230000,205000,12
1256.9183955605529,1389.4116268489888,235000,210000,12
1439.7857776398967,1420.3505376309877,240000,215000,12
1135.097435911992,1449.2447010059877,245000,220000,12
1419.7449478152782,1485.0351295859891,250000,225000,12
1060.3573985342016,1521.523188582989,255000,230000,12
1084.1534963398376,1549.8809758159896,260000,235000,12
1256.2413157747408,1581.1224943709894,265000,240000,12
1960.9127573917874,1614.5866518679904,270000,245000,12
1282.2919127932107,1644.2352112959907,275000,250000,12
2870.800514889748,1673.7381755169936,280000,255000,12
2597.838215587598,1704.5185253889922,285000,260000,12
1411.6751884258672,1734.5145201189916,290000,265000,12
2050.098659622,1764.3968083009913,295000,270000,12
2747.2227584051134,1794.4480452409916,300000,275000,12
2878.788532020606,1825.6076470689914,305000,280000,12
891.3723077763512,1855.7410892809912,310000,285000,12
2554.729910839827,1885.7567248549913,315000,290000,12
1424.4658270148325,1916.984901385993,320000,295000,12
1399.6002731130343,1948.3415662879906,325000,300000,12
2874.5895591864523,1979.1220267289918,330000,305000,12
2625.7789019324487,2008.5749500309903,335000,310000,12
2890.84013388495,2037.0065675799906,340000,315000,12
2539.398597174098,2066.0230681859903,345000,320000,12
1576.0110936569065,2094.815893980989,350000,325000,12
1823.4883095529578,2124.112333001989,355000,330000,12
2927.820595501953,2156.3768086699893,360000,335000,12
2697.4870827202963,2184.5361757829905,365000,340000,12
2867.417202128325,2212.7910773519907,370000,345000,12
2929.396263892829,2241.66305754299,375000,350000,12
1559.550071750221,2272.0586229439905,380000,355000,12
1936.1879753519763,2302.229626396991,385000,360000,12
1504.9230187631583,2332.291031162991,390000,365000,12
2552.6519781834168,2363.008453394992,395000,370000,12
1955.4476524149427,2393.3168199279917,400000,375000,12
1598.5130582173974,2421.2342646139914,405000,380000,12
1868.4390397263887,2449.2580553679927,410000,385000,12
2946.227714545399,2477.357304171992,415000,390000,12
1971.9265491213087,2506.986602986992,420000,395000,12
1604.7418517210222,2537.963144042991,425000,400000,12
3185.8834657800458,2568.13684764099,430000,405000,12
3163.6956545906273,2604.585842367991,435000,410000,12
2809.2945389256356,2640.3244065319905,440000,415000,12
2911.6698322398724,2677.6712960039895,445000,420000,12
1677.3644479006584,2715.625118228989,450000,425000,12
3124.1811021202466,2752.832476722988,455000,430000,12
2785.7846456390553,2783.552249926988,460000,435000,12
3105.558903248632,2813.0640065749867,465000,440000,12
3120.0429768508634,2844.2360706229865,470000,445000,12
3181.0007879450527,2875.7489101489864,475000,450000,12
3149.1681687639875,2912.192794446988,480000,455000,12
3139.8270729339815,2941.620312627987,485000,460000,12
2593.6400597698384,2971.623360917987,490000,465000,12
2225.129522930786,3001.3395023689864,495000,470000,12
2058.036559972003,3033.054238781986,500000,475000,12
1174.1019900860028,3065.467634951987,505000,480000,12
1596.334879693735,3095.4459213029877,510000,485000,12
2415.615625982738,3126.052752250989,515000,490000,12
2953.989917732996,3157.427635379987,520000,495000,12
3179.0267210675947,3188.247750069988,525000,500000,12
2918.3540011472687,3219.3820623209867,530000,505000,12
1050.1377847541773,3249.367640813989,535000,510000,12
1854.7372531460092,3280.787370646989,540000,515000,12
688.7551011932015,3311.116281166989,545000,520000,12
2579.504265132743,3346.9599381459884,550000,525000,12
2978.598600719952,3376.6168553319876,555000,530000,12
2146.813222462331,3405.2252484719884,560000,535000,12
2093.2706806946007,3435.5781852619893,565000,540000,12
2568.831168354075,3464.9823638459893,570000,545000,12
1205.734215590066,3495.5848601879898,575000,550000,12
2933.563949903378,3529.3238798229886,580000,555000,12
1155.523666140191,3563.4398784139885,585000,560000,12
