Hyperparameters
Env: HalfCheetah-v3
Seed: 69
Eval frequency: 5000
Number of initial exploration steps: 10000
Replay buffer size: 1000000
Minimum replay buffer size: 1000
Max env steps: 1500000
Batch size: 256
Discount factor: 0.99
Target entropy: -6
Target network update smoothing (τ): 0.005
Fixed alpha: None
Frequency of target updates: 1

avg_reward,log_probs,alpha,time,env_steps,grad_steps,seed
-0.43376112020880814,nan,1.0,0,0,0,69
-12.989172123078756,nan,0.3655552268028259,38.09480562899989,5000,4000,69
-497.24111503013563,nan,0.13238154351711273,83.93206548300077,10000,9000,69
-147.93041631853376,1.5619950485267646,0.04805760830640793,137.1239659490002,15000,14000,69
-127.14382715338547,1.480895959663391,0.01703817956149578,189.58851312700062,20000,19000,69
-23.506347141573677,2.9270681389808653,0.006447737570852041,242.41368896400127,25000,24000,69
449.9258980488121,6.028571237182617,0.0030168453231453896,296.05331435800326,30000,29000,69
526.7411566345472,8.31450738492012,0.006384736858308315,349.4238510740033,35000,34000,69
666.0928442681841,9.425568610954285,0.011215902864933014,402.29996960000244,40000,39000,69
1130.8698047674218,10.310745440769196,0.016878999769687653,456.0053684720024,45000,44000,69
1453.159572778928,11.252189475154877,0.023575035855174065,509.3560607080035,50000,49000,69
1777.3846235058995,8.969296005678176,0.027937445789575577,562.6736942580046,55000,54000,69
1573.5940693601751,8.496095253801347,0.030486099421977997,615.7049052470029,60000,59000,69
1857.289356993013,8.623508259820937,0.03290487453341484,668.6306167120038,65000,64000,69
2569.552718780822,8.012501447629928,0.035623740404844284,721.359114435003,70000,69000,69
2545.717633804844,9.249803701353073,0.038664862513542175,773.9742978200029,75000,74000,69
2825.124262921231,9.288466554975509,0.04202113300561905,826.9467851000027,80000,79000,69
2952.293058001755,9.754153108692169,0.04385284706950188,880.3890044420023,85000,84000,69
3233.0055544483025,9.02814489364624,0.04841531813144684,933.1837590280029,90000,89000,69
3186.228744149451,9.512424571228028,0.05051559582352638,986.2396072730025,95000,94000,69
3007.322136249246,8.920866599798202,0.05297737941145897,1039.275222240005,100000,99000,69
3443.799006558364,9.18928872885704,0.055107828229665756,1091.9438409880058,105000,104000,69
3781.920310479842,7.732934097099304,0.057145822793245316,1144.457201482006,110000,109000,69
4013.9538652103824,8.481346763420104,0.06001214310526848,1197.0594918420065,115000,114000,69
4130.7990539899665,9.495649815797806,0.06444551050662994,1249.7944029700066,120000,119000,69
4289.190722253985,9.775265998268127,0.0664440393447876,1303.009895513007,125000,124000,69
4733.556806967588,10.768622075462341,0.06987939029932022,1355.7484744790072,130000,129000,69
4328.865635018965,10.455700088453293,0.0715658962726593,1408.4262030990067,135000,134000,69
4273.971425598029,8.765717332601547,0.07424233853816986,1461.3337942070066,140000,139000,69
4178.794880446004,10.309955272579193,0.07724460959434509,1514.2459315900087,145000,144000,69
4670.083709976881,9.843212376785278,0.07902727276086807,1566.8929467900089,150000,149000,69
4643.998136899862,8.943259296798706,0.08083420246839523,1619.8299842910092,155000,154000,69
4420.165262503743,8.440685303497315,0.08107192814350128,1673.0979552620083,160000,159000,69
3751.860577468019,9.15156765141487,0.085059754550457,1726.0970285420099,165000,164000,69
3404.60958556239,9.453831584978104,0.08474722504615784,1779.1546387010094,170000,169000,69
4718.9935760512235,8.916099739408493,0.08582007884979248,1832.5395801660088,175000,174000,69
4659.85251711152,7.942446445894241,0.08929673582315445,1885.458338644008,180000,179000,69
4481.281809528272,9.004913379859925,0.08860134333372116,1938.164455763008,185000,184000,69
3950.096923871868,8.414474055433274,0.08956526964902878,1991.174727029007,190000,189000,69
4488.435893899872,8.031849000120163,0.09352737665176392,2044.4510953950066,195000,194000,69
4719.136662563107,8.81735000782013,0.0942438617348671,2097.875959786008,200000,199000,69
4633.729841254356,7.579403706502914,0.09498275071382523,2151.005763640007,205000,204000,69
4992.8007609460565,8.86953265504837,0.09397286176681519,2204.2288388500056,210000,209000,69
4852.093650290184,8.812785300827027,0.09324031323194504,2257.3054074860065,215000,214000,69
4674.320786441634,8.711304131698608,0.09617767482995987,2310.242565723007,220000,219000,69
5123.605334540114,8.47738063325882,0.0963512510061264,2362.9503365020064,225000,224000,69
5208.556464587144,8.594963151359558,0.09928080439567566,2416.009286342007,230000,229000,69
5074.739286255848,8.644480107355118,0.0978945940732956,2469.3260535680074,235000,234000,69
5322.391153477264,7.18296376657486,0.10173145681619644,2522.2218113580057,240000,239000,69
5456.632306325639,8.481530503749848,0.1032726988196373,2574.932228840007,245000,244000,69
5336.283190850036,8.689759949111938,0.10280580073595047,2628.1459770920064,250000,249000,69
5369.277315089928,8.664717608356476,0.1077359989285469,2681.323721176006,255000,254000,69
5612.8217463623405,8.529489609384537,0.10761509090662003,2734.132637256005,260000,259000,69
5739.9257006295065,8.456460339975356,0.10861995816230774,2787.153873842006,265000,264000,69
5842.951680363379,8.412013231515884,0.11403581500053406,2840.511800423006,270000,269000,69
5613.878688874103,8.469074870729447,0.11354482173919678,2893.6108837650063,275000,274000,69
6264.002982925376,8.522119369602203,0.11483059078454971,2947.657918304005,280000,279000,69
6008.473512667215,8.342672148323059,0.11755366623401642,3003.344204900004,285000,284000,69
5725.011723185946,8.492392242670059,0.11561445146799088,3060.245168942005,290000,289000,69
6058.895229940308,8.306463273477554,0.11715507507324219,3115.1793093720044,295000,294000,69
6138.638029544829,8.313897372198104,0.11705605685710907,3173.5314414890036,300000,299000,69
6006.064071932003,8.279561740493774,0.11721351742744446,3234.1526563640036,305000,304000,69
6055.96869797671,8.497160777568817,0.12188594043254852,3294.372440566003,310000,309000,69
6368.935023529119,8.322949665546417,0.12198370695114136,3355.322477552005,315000,314000,69
5707.918698323858,8.323378324460982,0.12698768079280853,3416.713063251005,320000,319000,69
6362.486769546033,8.291510285472869,0.12673743069171906,3477.1591667770062,325000,324000,69
6084.425748217234,8.473851884889603,0.12350871413946152,3536.329915474007,330000,329000,69
5985.429748950408,8.417341470479965,0.13007153570652008,3594.3948837910066,335000,334000,69
6604.08334038744,8.38991581902504,0.12445025146007538,3653.215856938008,340000,339000,69
6477.662710504449,8.31677664899826,0.13135093450546265,3710.1126035340058,345000,344000,69
6537.900464222908,8.494414218330384,0.13411565124988556,3765.615506400007,350000,349000,69
6533.1650674928305,8.325876098012925,0.1333160698413849,3819.9783697980056,355000,354000,69
6369.286951991969,8.305569161272048,0.13516002893447876,3879.5512978440074,360000,359000,69
6348.6331329402865,8.239189792346954,0.1323283314704895,3940.25793979801,365000,364000,69
6484.0863230614505,8.370070057439804,0.13984155654907227,4001.070866659009,370000,369000,69
6537.898804977433,8.2917776055336,0.13764747977256775,4061.6657588180096,375000,374000,69
6018.986271293618,8.100386567211151,0.14294983446598053,4121.712068649011,380000,379000,69
6321.568887875434,8.133822048664094,0.1380009949207306,4181.917313348011,385000,384000,69
6506.981856261462,8.074407630443574,0.14073151350021362,4242.156151906011,390000,389000,69
6846.581021166763,8.195814114427566,0.1411544680595398,4301.658140859012,395000,394000,69
6294.386239768936,8.00942304663658,0.14353901147842407,4361.775075444009,400000,399000,69
6637.422476109602,8.223309207630157,0.14128237962722778,4422.000046880012,405000,404000,69
6763.238254877593,8.167393562364579,0.14471684396266937,4482.743660026012,410000,409000,69
7007.049092425451,8.181166693115234,0.14906693994998932,4543.047205642013,415000,414000,69
6490.784544166322,8.05837279253006,0.14462928473949432,4603.884895484012,420000,419000,69
6871.646447501557,7.977577152633667,0.14703182876110077,4664.130271911014,425000,424000,69
6871.020308549104,7.900646843528747,0.14709313213825226,4724.368519812013,430000,429000,69
6972.663814987583,7.857164769649506,0.14669553935527802,4784.237931543012,435000,434000,69
6909.731327946941,7.8421535251140595,0.1479814201593399,4844.2985467080125,440000,439000,69
6788.214611073381,7.853149244642258,0.15501423180103302,4905.164129730014,445000,444000,69
