Hyperparameters
Env: Hopper-v3
Seed: 1
Eval frequency: 5000
Number of initial exploration steps: 1000
Replay buffer size: 1000000
Minimum replay buffer size: 1000
Max env steps: 1000000
Batch size: 256
Discount factor: 0.99
Policy regularization factor: 0.001
Reward scaling: 5
Target network update smoothing (τ): 0.005
Frequency of target updates: 1

avg_reward,avg_log_probs,time,env_steps,grad_steps,seed
28.211885869762444,nan,0,0,0,1
172.69563598390727,-1.0021240431223848,31.470048583000008,5000,4000,1
188.9869705144612,-0.2636562752366066,75.12458020200002,10000,9000,1
234.7620034674565,0.3566693021595478,117.55817936300002,15000,14000,1
260.69778203930167,0.5017232320189476,158.75851258200004,20000,19000,1
269.6779914609245,0.4800044777035713,201.18481087900005,25000,24000,1
222.47179184029082,0.4532678717911243,243.70991621500002,30000,29000,1
285.0092465709938,0.4037020941495895,286.53469401800004,35000,34000,1
328.2514969261,0.720104387062788,329.4165958980001,40000,39000,1
300.14694126689454,0.6125926552951336,371.7220542880001,45000,44000,1
281.2081873996945,0.3322254969239235,413.296603955,50000,49000,1
314.9104670456942,0.34497700043320656,455.8181992980001,55000,54000,1
305.004895329194,0.3609018965065479,498.41043843600005,60000,59000,1
934.9857368571153,0.8559457713961601,540.6625133670001,65000,64000,1
370.915679574824,0.9096486519038677,583.2473093430001,70000,69000,1
605.7747994408569,0.8790650923192501,625.907274122,75000,74000,1
458.39765796083265,0.691386409330368,668.6541411410001,80000,79000,1
947.0922987831821,1.0269244980752468,711.4203778510001,85000,84000,1
1033.016098387739,1.0023219972133637,754.4069534240001,90000,89000,1
882.6729070098748,0.8924592345237732,797.0653910790002,95000,94000,1
971.1982286141256,0.8981440577864647,839.8083631010002,100000,99000,1
2583.4972729709984,0.8589470243811608,882.1880090530001,105000,104000,1
843.9096357638346,0.49846706970334054,924.7438409020001,110000,109000,1
1038.8988193391758,0.6073554989457131,966.987257684,115000,114000,1
1035.452310933979,0.572965965628624,1008.4363000410001,120000,119000,1
1342.5775148435118,0.4437341813862324,1049.468542987,125000,124000,1
1717.088325946399,0.7726558391690255,1090.514600645,130000,129000,1
994.6217548090117,0.7391727774202823,1131.024325089,135000,134000,1
912.7844915560094,0.7011125029683113,1171.953165648,140000,139000,1
277.3615013278816,0.6428486722409725,1213.7359107,145000,144000,1
271.69752603899633,0.5064546155571937,1255.682323218,150000,149000,1
245.66524595242726,0.5048619942903518,1296.413069687,155000,154000,1
2525.9190293096253,0.5577932916402817,1337.810780822,160000,159000,1
1556.6317396239397,0.6234121554374695,1379.659019148,165000,164000,1
1067.491776490357,0.6057902000546456,1421.6295953200001,170000,169000,1
1271.0322317446894,0.6548197852313519,1463.4799447670002,175000,174000,1
1538.3491721835153,0.6522519469559193,1505.2037387470004,180000,179000,1
1912.2633663463816,0.6272718862473965,1545.8627604540004,185000,184000,1
1318.389864976924,0.6518883297383785,1586.7088864570003,190000,189000,1
1314.876529925404,0.6930014655411243,1627.1559569130004,195000,194000,1
2985.6561015813813,0.7220980217933655,1667.9859526310004,200000,199000,1
1446.8682976560926,0.6208106352329255,1710.0183295810002,205000,204000,1
1922.7756934400427,0.6849409272432327,1751.5763150690002,210000,209000,1
1271.2361851695186,0.6886169855356217,1793.406464206,215000,214000,1
3083.5331230437355,0.5791583577632904,1835.1695629590001,220000,219000,1
2430.0999434251526,0.5789023044168949,1876.485116053,225000,224000,1
2328.556232896446,0.5128305573225022,1917.4716782090002,230000,229000,1
3171.552759487625,0.523579070520401,1958.7028217980003,235000,234000,1
