Hyperparameters
Env: HalfCheetah-v3
Seed: 42
Eval frequency: 5000
Number of initial exploration steps: 10000
Replay buffer size: 1000000
Minimum replay buffer size: 1000
Max env steps: 3000000
Batch size: 256
Discount factor: 0.99
Policy regularization factor: 0.001
Reward scaling: 5
Target network update smoothing (τ): 0.005
Frequency of target updates: 1

avg_reward,time,env_steps,grad_steps,seed
-1.8108515879342395,0,0,0,42
-264.9763983452103,21.664224467000167,5000,4000,42
-141.87678067630958,50.3549229070004,10000,9000,42
5.171444800088895,81.95855185599976,15000,14000,42
620.0938309263387,110.75059960399904,20000,19000,42
756.7017188847989,140.28899722799906,25000,24000,42
631.3648841685775,170.40747663299862,30000,29000,42
1881.5716101691626,200.9652561649982,35000,34000,42
1915.3075815419306,231.33236175699767,40000,39000,42
2133.8030211683385,259.1682511389972,45000,44000,42
2280.7809986703005,287.7895039879977,50000,49000,42
2580.0786855001243,317.2838916549972,55000,54000,42
1186.6777354700407,347.81889126499664,60000,59000,42
2040.2711465708635,379.6458789829976,65000,64000,42
3092.554342319615,408.3664888619969,70000,69000,42
3379.160379568251,437.1027178439981,75000,74000,42
3432.376539292999,465.9549023749987,80000,79000,42
3403.1471185569217,495.8635305619973,85000,84000,42
3412.392195145101,524.9520135209968,90000,89000,42
3509.671587796577,554.2670052679969,95000,94000,42
3411.430690934331,584.2480214849948,100000,99000,42
3618.2805834943965,613.4017613109954,105000,104000,42
3932.358182523201,642.998533643995,110000,109000,42
3875.5078531384415,671.4647504189943,115000,114000,42
4010.632415426374,699.5940164479944,120000,119000,42
4030.144894224572,731.8202635709931,125000,124000,42
4056.244145546173,760.0544595819938,130000,129000,42
4079.2735890403737,789.4805500089951,135000,134000,42
4198.177056311236,820.6904348579956,140000,139000,42
4215.149977046877,851.7358756089961,145000,144000,42
4266.046563557027,881.1720433959963,150000,149000,42
4355.535543353444,911.3864298089939,155000,154000,42
4389.1087291288,940.6300962679943,160000,159000,42
4287.640814278656,972.7098120879928,165000,164000,42
